boundedQueue;360,57;159,72;366,52;366,26;198,80;291,42;180,73;264,85;277,01;309,09;342,70;334,43;300,35;213,26;240,53
cal;13,31;8,82;12,60;13,00;9,72;13,04;13,05;11,28;11,24;12,15;13,09;11,53;11,02;13,12;10,78
Calculation;36,31;25,29;36,43;36,09;26,04;28,27;25,40;28,84;33,73;30,64;29,19;27,43;34,66;32,37;29,77
checkIt;15,67;13,11;15,61;15,80;14,79;14,69;15,44;14,17;13,27;13,99;13,28;15,01;15,48;14,90;15,32
CheckPalindrome;23,99;12,57;24,04;23,03;22,75;20,03;16,88;22,80;17,69;14,02;14,39;22,03;16,59;13,64;16,02
countPositive;9,65;6,38;9,50;9,64;9,26;8,04;7,08;9,61;9,19;6,44;7,28;7,64;9,59;9,22;8,58
date-plus;88,10;52,92;87,62;88,71;69,42;56,96;54,85;58,09;83,12;53,30;58,17;83,99;70,58;72,74;72,73
DigitReverser;17,32;10,83;16,12;16,09;12,18;14,12;16,64;14,58;16,37;11,23;11,87;16,05;17,30;12,62;11,43
findLast;4,50;5,59;6,28;6,34;4,91;6,28;5,93;5,42;5,95;5,59;4,51;5,64;4,84;5,70;5,73
findVal;22,76;15,04;22,98;22,66;22,83;16,02;21,03;21,72;20,57;22,61;20,20;15,19;20,07;19,23;19,42
Gaussian;50,96;28,53;50,72;51,69;37,49;46,80;30,99;39,54;29,38;36,52;31,59;46,88;36,91;44,13;38,69
Heap;26,41;19,14;27,81;27,53;21,32;25,80;25,21;23,15;26,63;27,57;23,52;24,80;25,51;24,61;23,51
InversePermutation;10,23;8,61;10,24;12,13;10,33;10,94;9,44;11,09;10,68;9,33;11,15;9,23;10,29;9,48;9,14
jday-jdate;73,50;45,04;72,85;72,17;59,16;62,75;46,80;56,16;58,93;66,00;66,41;61,44;45,35;50,81;66,78
lastZero;105,87;63,31;103,41;105,15;77,28;96,33;76,86;87,40;82,16;71,84;98,97;78,81;80,02;67,99;102,95
LRS;24,84;13,96;24,54;24,88;14,15;17,31;21,03;15,10;19,41;17,88;14,76;17,26;19,07;18,47;22,17
MergeSort;15,74;11,40;15,65;15,74;13,51;11,60;14,01;15,35;14,45;11,77;14,69;12,57;13,68;12,11;11,81
numZero;84,80;42,09;86,50;86,22;54,31;71,58;46,33;51,06;77,91;72,55;63,96;50,72;65,83;51,56;83,49
oddOrPos;9,50;8,14;11,48;11,64;10,83;11,37;8,88;8,81;10,42;11,38;11,61;8,28;9,32;10,97;11,32
pcal;143,25;107,01;144,83;144,50;125,95;135,65;118,34;138,91;122,36;118,89;117,37;141,72;107,45;136,93;130,55
power;18,18;8,81;18,23;18,22;12,83;10,27;14,92;12,15;12,49;17,35;13,75;12,60;11,58;10,98;12,72
print_tokens;106,58;70,46;105,19;105,80;78,86;83,96;89,23;85,98;102,61;82,26;75,68;92,47;102,27;103,01;70,68
print_tokens2;130,00;87,76;131,17;131,89;95,75;95,19;99,38;98,04;94,01;98,79;117,10;118,53;127,45;119,28;108,15
printPrimes;25,27;14,81;25,31;26,61;22,11;16,24;15,52;22,04;17,42;20,30;20,37;18,86;16,27;24,54;21,62
Queue;5,95;6,54;7,65;7,54;7,17;6,86;7,27;6,60;6,63;6,62;6,55;7,10;6,48;7,23;6,39
quicksort;39,45;30,21;39,73;38,84;32,95;34,37;37,68;30,46;30,70;31,00;35,85;34,71;34,50;30,39;37,02
RecursiveSelectionSort;17,46;11,87;16,29;16,83;17,03;16,20;13,94;11,88;16,71;16,69;16,13;13,67;15,24;14,51;14,02
replace;636,70;488,82;651,79;649,69;613,91;579,30;509,28;604,34;625,73;631,49;644,35;561,57;611,00;650,04;607,26
schedule;129,25;73,70;130,41;132,31;84,77;76,46;77,44;117,25;88,24;131,84;97,20;76,89;123,20;111,20;100,87
schedule2;85,99;50,52;88,40;87,80;87,28;66,74;74,64;79,33;65,74;70,23;70,89;85,07;67,04;57,11;63,50
Stack;23,44;17,12;27,08;28,64;20,35;27,33;20,54;25,49;19,81;24,33;22,78;22,62;25,87;18,65;19,43
stats;88,19;53,88;98,03;97,40;78,52;65,84;54,41;84,98;88,43;55,92;94,23;74,32;56,14;67,42;68,43
sum;20,71;12,27;20,36;20,29;19,31;15,78;19,21;16,75;13,76;13,06;14,54;12,94;17,73;19,77;19,61
tcas;16,13;10,56;17,20;17,11;14,92;12,51;10,77;13,28;16,07;12,39;11,43;11,75;16,70;10,86;16,51
testPad;69,10;46,18;68,32;67,11;61,72;58,79;58,72;52,68;60,41;52,45;47,65;63,14;58,42;52,45;52,70
totinfo;160,88;109,84;159,31;161,35;135,20;125,82;130,81;133,47;142,90;126,00;137,27;130,81;125,89;131,08;111,31
trashAndTakeOut;8,04;6,71;8,19;7,87;7,05;7,88;7,23;7,73;7,77;8,12;7,09;7,93;6,72;7,05;8,06
twoPred;55,03;35,66;54,85;54,71;50,90;40,57;43,21;42,95;53,44;54,27;42,34;47,75;54,18;51,87;45,36
UnixCal;32,90;23,81;32,83;32,71;23,95;31,17;28,69;24,21;26,05;31,59;26,83;26,97;27,06;24,38;25,01
TOTAL;2806,53;1817,03;2846,07;2851,99;2279,61;2330,28;2067,81;2367,54;2429,39;2407,49;2470,74;2410,35;2417,65;2345,68;2339,37
