boundedQueue;294,69;295,41;293,41;294,66;297,15;296,92;295,95;295,68;294,33;294,55;295,63;295,28;294,52;296,05;294,51
cal;23,21;19,27;24,45;23,91;24,16;20,02;23,33;22,50;23,57;22,68;19,93;23,67;21,26;22,41;22,67
Calculation;83,84;91,32;83,80;83,77;84,00;85,75;88,78;85,96;87,06;85,00;86,57;88,24;84,96;90,32;85,66
checkIt;19,93;19,77;20,65;18,48;19,91;19,12;18,83;20,02;20,19;20,14;18,84;19,42;20,55;19,35;19,84
CheckPalindrome;113,76;113,81;122,86;113,96;123,35;119,74;123,11;113,85;114,89;117,13;121,57;118,54;114,37;117,47;116,06
countPositive;14,32;14,88;14,47;14,56;14,38;14,55;14,66;14,35;14,40;14,66;14,65;14,59;14,75;14,77;14,50
date-plus;84,27;85,96;89,07;83,74;84,43;85,31;88,60;88,67;87,19;85,84;84,55;83,95;86,00;87,16;87,19
DigitReverser;53,96;54,07;55,86;53,84;54,57;54,79;54,23;55,25;54,37;54,67;55,44;54,97;55,02;54,93;54,17
findLast;6,40;6,39;7,28;6,42;6,38;7,21;6,43;6,63;7,03;7,09;6,90;7,24;7,11;6,77;6,60
findVal;76,36;84,13;75,99;76,13;75,45;80,60;80,72;76,48;75,64;78,10;79,23;77,84;82,90;77,10;76,73
Gaussian;64,21;64,02;70,40;65,25;63,28;70,21;65,97;67,11;69,95;65,25;67,85;65,71;64,24;67,25;66,01
Heap;33,96;33,88;36,84;34,38;33,77;36,04;35,14;35,70;35,41;34,57;33,97;35,25;35,69;34,80;35,71
InversePermutation;11,98;12,07;10,21;12,43;12,08;10,58;11,31;10,60;10,83;12,08;10,52;10,88;11,61;12,33;11,27
jday-jdate;39,47;40,59;38,06;39,18;39,25;40,14;39,40;40,27;38,53;40,19;40,13;40,43;39,96;39,36;38,66
lastZero;60,03;61,79;62,07;59,35;58,30;61,27;61,56;61,46;59,91;61,32;58,41;61,83;59,06;60,72;59,93
LRS;38,02;39,15;51,76;38,19;38,76;40,17;38,24;39,97;50,51;41,23;46,77;42,97;47,25;38,23;43,88
MergeSort;35,72;35,67;35,23;35,35;36,27;36,22;35,72;35,91;35,45;35,29;36,07;35,28;35,63;35,46;35,66
numZero;184,33;175,69;184,21;183,88;182,46;176,57;184,27;177,05;182,39;184,11;183,95;180,56;176,27;176,98;177,27
oddOrPos;9,95;10,04;10,01;10,02;9,89;9,97;9,96;9,95;9,96;9,91;10,04;10,03;9,93;9,97;10,01
pcal;183,61;174,12;182,55;182,55;180,40;180,81;180,00;175,59;183,05;181,78;182,19;175,13;176,51;176,39;178,28
power;23,47;24,43;24,77;23,01;23,44;23,33;24,12;23,77;24,29;23,73;23,13;23,41;23,17;23,78;24,13
print_tokens;125,54;131,30;128,83;125,73;125,51;130,72;126,88;125,62;128,33;130,71;128,97;126,55;127,60;127,40;126,16
print_tokens2;176,49;176,11;183,16;173,63;174,53;180,11;181,75;179,15;182,71;180,42;178,29;181,59;177,67;180,47;176,67
printPrimes;87,13;87,21;90,52;84,10;86,15;84,92;85,70;90,47;87,21;90,15;88,29;85,56;84,76;85,36;86,84
Queue;7,31;7,47;7,48;7,37;7,55;7,55;7,52;7,33;7,39;7,41;7,50;7,47;7,41;7,31;7,55
quicksort;119,13;119,42;127,84;118,93;128,51;121,72;120,21;123,10;122,77;127,20;126,40;122,08;126,86;121,59;123,01
RecursiveSelectionSort;45,01;44,11;45,66;46,49;44,31;45,03;44,62;44,49;44,78;44,12;44,92;46,00;46,25;46,01;44,91
replace;2313,11;2313,81;2313,42;2313,63;2315,21;2315,10;2314,31;2314,63;2315,19;2314,99;2314,23;2314,98;2314,55;2313,95;2314,79
schedule;79,23;83,42;77,68;78,77;80,81;79,43;81,49;79,79;78,39;80,51;78,89;77,78;79,64;78,16;78,88
schedule2;53,45;53,33;53,32;53,37;53,45;53,34;53,37;53,37;53,37;53,34;53,32;53,35;53,42;53,45;53,34
Stack;96,93;97,23;100,84;94,15;99,00;95,70;97,83;99,54;94,86;100,53;97,90;95,45;97,87;100,20;96,90
stats;36,39;35,22;51,47;36,16;37,26;44,12;45,29;46,48;39,99;46,58;51,02;51,19;48,83;45,57;42,14
sum;36,93;37,00;36,63;37,44;37,00;37,22;37,29;36,88;37,27;37,37;36,78;36,86;37,41;37,16;36,73
tcas;11,17;10,95;13,21;10,68;11,32;11,86;12,01;12,74;12,67;12,71;10,95;12,24;12,09;11,51;11,14
testPad;69,73;66,92;64,39;66,78;66,31;69,05;67,10;68,82;66,12;67,93;67,31;68,32;67,12;66,90;65,58
totinfo;137,85;143,18;138,64;137,01;135,19;138,43;137,24;140,16;142,71;136,31;140,05;135,92;137,80;138,33;140,29
trashAndTakeOut;7,34;8,26;7,49;7,42;7,38;7,79;7,74;8,23;7,36;7,89;7,74;7,73;7,35;7,34;7,52
twoPred;5,25;6,60;6,24;5,61;5,66;6,52;5,70;6,03;5,79;5,71;6,38;5,76;6,19;6,04;6,25
UnixCal;63,96;64,03;64,65;64,26;64,82;63,97;64,39;64,20;64,43;64,63;64,67;64,51;63,99;64,23;64,80
TOTAL;4927,44;4942,03;5005,42;4914,59;4941,65;4961,90;4970,77;4957,80;4970,29;4977,83;4979,95;4958,56;4957,57;4952,58;4942,24
