boundedQueue;43,50;76,27;42,91;43,19;42,06;68,85;68,02;65,04;62,78;62,75;50,22;69,18;60,32;47,81;55,95
cal;11,89;12,12;14,27;11,71;14,37;13,45;13,33;13,47;13,40;12,33;14,18;13,55;13,30;12,73;12,33
Calculation;52,48;52,95;52,73;55,25;57,82;57,07;55,79;53,53;55,20;56,18;57,78;53,73;55,24;55,13;53,24
checkIt;4,96;7,32;7,41;5,05;5,10;5,29;6,01;7,06;5,09;5,68;7,19;6,78;5,08;6,32;5,48
CheckPalindrome;9,78;10,96;9,40;9,67;9,22;9,51;9,80;10,53;9,63;9,46;10,71;10,28;9,40;10,09;9,24
countPositive;7,24;7,95;9,99;10,41;10,51;7,88;8,87;8,87;7,84;7,37;9,36;10,44;9,69;8,34;7,37
date-plus;86,61;87,03;89,28;87,05;85,14;88,90;85,37;85,91;85,45;85,53;86,62;86,96;87,19;87,39;88,50
DigitReverser;19,60;19,59;21,97;20,25;20,23;19,79;20,81;21,55;21,12;20,02;20,80;20,39;19,87;21,23;21,00
findLast;6,72;8,29;8,36;6,83;6,86;8,35;7,94;7,79;6,76;7,30;6,80;8,10;7,74;7,78;6,79
findVal;12,42;13,23;12,86;12,72;12,49;12,74;12,48;13,03;12,58;12,54;13,23;12,89;12,68;12,45;13,16
Gaussian;72,55;72,88;72,51;72,60;72,46;72,48;72,66;72,87;72,79;72,49;72,46;72,80;72,71;72,70;72,77
Heap;29,24;30,72;29,19;29,11;29,77;29,44;29,49;30,27;29,36;30,41;30,48;29,92;29,82;29,46;29,65
InversePermutation;12,30;13,53;13,39;13,70;13,62;13,37;13,33;13,09;13,39;12,45;12,50;12,64;13,09;13,41;12,59
jday-jdate;25,34;30,69;24,84;24,39;25,14;29,44;24,67;27,17;26,85;27,96;28,66;26,35;26,44;29,37;30,61
lastZero;20,98;22,57;22,16;23,88;22,42;22,73;22,26;21,82;21,25;23,76;22,51;23,30;21,89;22,10;21,69
LRS;27,49;28,53;27,61;28,04;27,41;28,38;28,43;28,32;28,08;28,33;27,43;28,45;27,93;27,95;27,98
MergeSort;22,58;24,08;23,52;24,67;23,67;23,91;22,95;23,55;22,59;22,73;23,07;23,76;24,45;22,98;23,51
numZero;17,38;34,35;17,31;18,54;17,29;33,43;22,46;18,96;32,13;22,13;31,55;29,37;17,75;25,72;32,29
oddOrPos;10,92;10,77;10,45;11,20;10,99;10,88;11,15;11,09;11,09;10,76;10,91;11,03;10,59;11,08;10,77
pcal;275,12;291,50;279,29;279,81;277,56;286,61;275,56;281,49;284,26;277,20;282,45;280,32;290,88;286,61;291,02
power;13,49;13,64;15,34;13,61;13,69;14,39;15,34;13,56;14,49;13,76;15,00;14,41;13,68;14,88;14,80
print_tokens;200,69;192,36;194,37;199,51;196,22;192,63;193,94;196,96;193,46;194,87;199,65;198,58;196,53;192,70;200,24
print_tokens2;162,23;159,88;162,91;160,11;159,52;162,54;161,49;161,80;162,88;162,37;160,69;160,72;162,16;162,03;162,71
printPrimes;33,33;33,62;33,85;33,41;33,59;33,58;33,85;33,73;33,59;33,55;33,37;33,77;33,63;33,33;33,63
Queue;8,72;9,11;9,05;8,69;8,74;8,87;8,85;8,83;8,96;8,82;8,76;9,06;9,04;9,02;8,97
quicksort;74,88;76,12;75,19;75,28;75,66;76,08;75,56;74,95;74,94;75,27;76,08;75,03;75,55;76,12;75,58
RecursiveSelectionSort;13,80;14,11;13,84;13,80;15,02;13,95;13,80;14,77;14,18;14,36;14,33;14,92;14,27;14,79;14,80
replace;1307,00;1338,02;1302,57;1308,10;1304,03;1335,82;1328,75;1319,53;1323,63;1325,65;1316,30;1317,73;1330,00;1311,40;1331,25
schedule;202,32;199,43;199,46;199,88;200,77;199,87;199,52;201,32;200,65;199,77;200,52;200,01;201,05;200,88;199,86
schedule2;133,33;134,40;131,98;132,07;132,42;133,70;132,63;133,61;134,34;132,35;133,06;132,50;133,54;132,69;132,83
Stack;15,92;16,34;16,99;17,19;16,82;15,98;16,78;16,99;16,43;16,88;16,30;16,92;17,11;16,85;16,03
stats;56,81;49,52;43,19;48,68;43,61;50,09;48,92;50,88;53,10;44,64;52,02;50,50;45,71;49,87;52,45
sum;8,65;8,81;8,98;9,20;8,71;8,68;8,79;8,97;8,85;9,15;8,83;8,91;9,09;8,97;8,66
tcas;22,15;22,28;22,18;25,08;27,40;26,88;23,62;24,79;22,77;24,51;24,11;23,37;24,16;24,01;25,72
testPad;55,46;55,48;56,14;56,57;54,12;55,33;54,23;54,79;55,43;54,45;54,35;56,18;55,27;56,14;55,68
totinfo;240,80;239,31;235,10;240,33;235,21;235,29;236,33;240,17;237,47;236,65;239,83;239,05;239,77;235,88;239,57
trashAndTakeOut;8,81;8,80;8,89;8,82;8,77;8,85;8,86;8,79;8,84;8,78;8,77;8,85;8,88;8,82;8,84
twoPred;16,00;16,37;20,35;15,18;14,85;16,91;15,68;15,84;19,48;19,30;17,68;15,39;20,25;20,16;18,85
UnixCal;55,60;55,79;55,71;56,29;55,70;55,98;56,06;56,04;55,78;55,97;55,67;56,22;56,02;55,68;55,98
TOTAL;3399,09;3498,72;3395,54;3409,87;3388,98;3487,92;3444,38;3451,73;3460,91;3438,48;3454,23;3462,36;3461,77;3434,87;3482,39
